Среднее значение выигрыша/проигрыша:
A,0.04
B,-0.04
Математическое ожидание,0.0
Среднее квадратичное отклонение от экспериментального среднего,2.082882617912011
Теоретическое среднее квадратичное отклонение для данных вероятностей,2.1213203435596424
Игрок А,Игрок В,Счёт
0,0,2
0,1,-3
1,1,2
0,1,-3
0,0,2
1,1,2
0,0,2
1,0,-1
1,0,-1
1,0,-1
1,1,2
1,0,-1
0,1,-3
0,0,2
1,0,-1
1,1,2
1,1,2
1,0,-1
0,1,-3
1,0,-1
1,1,2
1,0,-1
0,0,2
0,0,2
1,0,-1
0,0,2
1,1,2
1,0,-1
0,0,2
1,1,2
1,0,-1
1,0,-1
0,1,-3
0,0,2
0,0,2
0,1,-3
1,1,2
0,1,-3
1,1,2
0,1,-3
0,1,-3
1,1,2
0,1,-3
1,0,-1
0,0,2
1,1,2
1,0,-1
0,1,-3
1,1,2
0,0,2
1,1,2
0,1,-3
0,0,2
0,1,-3
0,1,-3
0,0,2
0,0,2
0,1,-3
1,0,-1
0,1,-3
1,1,2
1,1,2
1,0,-1
0,1,-3
1,1,2
0,1,-3
0,1,-3
1,0,-1
1,1,2
1,0,-1
0,0,2
0,0,2
0,0,2
0,0,2
1,0,-1
0,1,-3
0,1,-3
0,0,2
0,0,2
0,0,2
1,0,-1
0,1,-3
0,0,2
1,0,-1
0,0,2
0,0,2
1,1,2
1,0,-1
1,1,2
1,0,-1
1,1,2
1,0,-1
1,1,2
0,0,2
0,0,2
0,0,2
1,0,-1
0,1,-3
1,0,-1
1,0,-1
