Среднее значение выигрыша/проигрыша:
A,0.53
B,-0.53
Математическое ожидание,0.04493464052287577
Среднее квадратичное отклонение от экспериментального среднего,1.9362592801585234
Теоретическое среднее квадратичное отклонение для данных вероятностей,2.1145752742570743
Игрок А,Игрок В,Счёт
1,1,2
1,0,-1
0,0,2
1,1,2
1,1,2
1,1,2
0,1,-3
1,1,2
0,1,-3
0,1,-3
0,1,-3
1,0,-1
1,0,-1
1,1,2
1,1,2
0,0,2
1,0,-1
0,1,-3
0,1,-3
1,1,2
0,0,2
1,0,-1
1,0,-1
1,1,2
0,1,-3
0,0,2
1,1,2
0,0,2
1,0,-1
0,0,2
1,1,2
1,0,-1
1,1,2
1,0,-1
1,0,-1
1,0,-1
1,1,2
0,0,2
1,1,2
1,1,2
1,1,2
0,1,-3
0,0,2
1,0,-1
0,0,2
1,1,2
0,0,2
1,1,2
1,1,2
1,1,2
0,1,-3
0,1,-3
1,1,2
1,0,-1
0,0,2
1,1,2
1,1,2
0,1,-3
1,1,2
1,0,-1
1,1,2
0,0,2
1,1,2
0,0,2
0,0,2
0,0,2
1,0,-1
1,0,-1
0,1,-3
0,0,2
0,1,-3
0,0,2
0,1,-3
0,0,2
0,0,2
0,0,2
0,0,2
1,0,-1
0,0,2
1,1,2
1,0,-1
1,0,-1
1,0,-1
1,0,-1
1,0,-1
1,1,2
1,1,2
1,1,2
1,0,-1
1,1,2
0,0,2
0,0,2
0,1,-3
1,1,2
1,0,-1
1,1,2
0,0,2
1,1,2
0,0,2
1,1,2
