Среднее значение выигрыша/проигрыша:
A,-0.09
B,0.09
Математическое ожидание,-0.25
Среднее квадратичное отклонение от экспериментального среднего,2.302585503298413
Теоретическое среднее квадратичное отклонение для данных вероятностей,2.331844763272204
Игрок А,Игрок В,Счёт
1,1,2
0,1,-3
0,1,-3
1,1,2
0,1,-3
0,1,-3
0,0,2
1,1,2
0,1,-3
1,1,2
1,1,2
1,0,-1
0,0,2
1,1,2
0,1,-3
0,1,-3
1,0,-1
0,0,2
0,1,-3
1,1,2
0,1,-3
1,1,2
0,0,2
1,1,2
1,1,2
1,1,2
0,1,-3
1,1,2
0,1,-3
0,1,-3
1,0,-1
1,1,2
1,0,-1
1,1,2
0,0,2
1,1,2
1,1,2
0,1,-3
0,1,-3
1,1,2
1,0,-1
1,1,2
0,1,-3
1,1,2
1,0,-1
1,1,2
1,0,-1
1,0,-1
1,1,2
1,1,2
0,0,2
1,0,-1
0,1,-3
0,1,-3
1,0,-1
1,1,2
1,1,2
0,0,2
0,1,-3
1,1,2
1,1,2
0,1,-3
0,1,-3
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
0,1,-3
1,1,2
0,1,-3
0,0,2
0,1,-3
1,0,-1
0,1,-3
0,0,2
1,1,2
1,1,2
0,1,-3
1,0,-1
0,1,-3
1,1,2
1,1,2
0,1,-3
1,0,-1
0,1,-3
1,1,2
0,0,2
1,1,2
0,0,2
0,1,-3
0,1,-3
1,1,2
0,1,-3
0,1,-3
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
