Среднее значение выигрыша/проигрыша:
A,0.8
B,-0.8
Математическое ожидание,0.7747524752475248
Среднее квадратичное отклонение от экспериментального среднего,1.8330302779823358
Теоретическое среднее квадратичное отклонение для данных вероятностей,1.8337474987649052
Игрок А,Игрок В,Счёт
1,0,-1
0,0,2
1,1,2
1,1,2
1,0,-1
1,1,2
1,1,2
0,0,2
1,1,2
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,1,-3
1,0,-1
1,0,-1
1,0,-1
1,1,2
0,0,2
1,0,-1
1,1,2
1,1,2
1,0,-1
0,1,-3
1,0,-1
0,1,-3
1,1,2
1,1,2
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,0,-1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,0,-1
1,1,2
1,0,-1
1,1,2
1,1,2
1,1,2
0,1,-3
1,1,2
1,0,-1
0,0,2
0,1,-3
0,1,-3
0,1,-3
1,1,2
0,0,2
1,1,2
1,0,-1
1,1,2
1,0,-1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,0,2
1,1,2
1,0,-1
1,1,2
1,0,-1
1,1,2
1,0,-1
0,0,2
1,1,2
0,1,-3
1,1,2
1,1,2
1,0,-1
1,0,-1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,0,-1
1,1,2
1,1,2
1,1,2
1,1,2
0,1,-3
