Среднее значение выигрыша/проигрыша:
A,0.72
B,-0.72
Математическое ожидание,0.7563291139240507
Среднее квадратичное отклонение от экспериментального среднего,1.949769217112629
Теоретическое среднее квадратичное отклонение для данных вероятностей,1.8489111932553126
Игрок А,Игрок В,Счёт
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
0,1,-3
1,1,2
1,0,-1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,1,-3
0,0,2
1,1,2
1,1,2
1,0,-1
1,1,2
1,0,-1
1,1,2
1,0,-1
0,1,-3
1,1,2
1,1,2
1,0,-1
0,0,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,0,-1
0,1,-3
1,1,2
0,1,-3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
1,1,2
1,1,2
1,0,-1
1,1,2
1,1,2
1,0,-1
1,1,2
1,1,2
0,1,-3
0,1,-3
1,0,-1
0,0,2
1,1,2
0,0,2
0,1,-3
1,0,-1
1,1,2
1,1,2
0,1,-3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,0,-1
1,1,2
0,0,2
1,1,2
0,0,2
0,1,-3
1,1,2
1,1,2
1,0,-1
1,1,2
1,1,2
1,1,2
1,0,-1
0,0,2
1,1,2
1,1,2
0,1,-3
1,0,-1
0,1,-3
0,1,-3
1,0,-1
1,1,2
1,1,2
1,0,-1
1,1,2
1,1,2
1,1,2
1,1,2
